,nation,player_name,team,url
172,Portugal,Adrien Silva,Free Agents,https://www.fifaindex.com/player/184826/adrien-silva/
173,Italy,Sebastian Giovinco,Toronto FC,https://www.fifaindex.com/player/184431/sebastian-giovinco/
174,Algeria,Yacine Brahimi,FC Porto,https://www.fifaindex.com/player/184267/yacine-brahimi/
175,Argentina,Nicol?s Gait?n,Atl?tico Madrid,https://www.fifaindex.com/player/184144/nicol%C3%A1s-gait%C3%A1n/
176,Croatia,Mario Mand?uki?,Juventus,https://www.fifaindex.com/player/181783/mario-mand%C5%BEuki%C4%87/
177,Brazil,Willian,Chelsea,https://www.fifaindex.com/player/180403/willian/
178,Germany,Benedikt H?wedes,Juventus,https://www.fifaindex.com/player/179784/benedikt-h%C3%B6wedes/
179,Argentina,?ver Banega,Sevilla FC,https://www.fifaindex.com/player/178562/%C3%A9ver-banega/
180,Portugal,Rui Patr?cio,Sporting CP,https://www.fifaindex.com/player/178005/rui-patr%C3%ADcio/
181,Switzerland,Yann Sommer,Bor. M'gladbach,https://www.fifaindex.com/player/177683/yann-sommer/
182,France,Dimitri Payet,Olym. Marseille,https://www.fifaindex.com/player/177388/dimitri-payet/
183,Poland,¨©ukasz Piszczek,Bor. Dortmund,https://www.fifaindex.com/player/173771/%C5%82ukasz-piszczek/
184,Argentina,Ezequiel Garay,Valencia CF,https://www.fifaindex.com/player/170481/ezequiel-garay/
185,Ecuador,Antonio Valencia,Manchester Utd,https://www.fifaindex.com/player/167905/antonio-valencia/
186,England,Gary Cahill,Chelsea,https://www.fifaindex.com/player/164468/gary-cahill/
187,Denmark,Kasper Schmeichel,Leicester City,https://www.fifaindex.com/player/163587/kasper-schmeichel/
188,Belgium,Moussa Demb?l?,Spurs,https://www.fifaindex.com/player/162240/moussa-demb%C3%A9l%C3%A9/
189,Spain,Borja Valero,Inter,https://www.fifaindex.com/player/161956/borja-valero/
190,Spain,Diego L?pez,RCD Espanyol,https://www.fifaindex.com/player/146748/diego-l%C3%B3pez/
191,Spain,Santi Cazorla,Arsenal,https://www.fifaindex.com/player/146562/santi-cazorla/
192,Argentina,Javier Mascherano,FC Barcelona,https://www.fifaindex.com/player/142754/javier-mascherano/
193,Netherlands,Wesley Sneijder,OGC Nice,https://www.fifaindex.com/player/139869/wesley-sneijder/
194,Portugal,Nani,Lazio,https://www.fifaindex.com/player/139068/nani/
195,Brazil,Fernandinho,Manchester City,https://www.fifaindex.com/player/135507/fernandinho/
196,Italy,Daniele De Rossi,Roma,https://www.fifaindex.com/player/53302/daniele-de-rossi/
197,Spain,Pepe Reina,Napoli,https://www.fifaindex.com/player/24630/pepe-reina/
198,Portugal,Quaresma,Be?ikta?,https://www.fifaindex.com/player/20775/quaresma/
199,Ivory Coast,Yaya Tour?,Manchester City,https://www.fifaindex.com/player/20289/yaya-tour%C3%A9/
200,Spain,Casillas,FC Porto,https://www.fifaindex.com/player/5479/casillas/
201,Brazil,Gabriel Jesus,Manchester City,https://www.fifaindex.com/player/230666/gabriel-jesus/
202,Italy,Gianluigi Donnarumma,Milan,https://www.fifaindex.com/player/230621/gianluigi-donnarumma/
203,France,Corentin Tolisso,FC Bayern,https://www.fifaindex.com/player/219683/corentin-tolisso/
204,Ivory Coast,Jean Micha?l Seri,OGC Nice,https://www.fifaindex.com/player/216451/jean-micha%C3%ABl-seri/
205,Senegal,Keita Bald? Diao,AS Monaco,https://www.fifaindex.com/player/215785/keita-bald%C3%A9-diao/
206,Denmark,Andreas Christensen,Chelsea,https://www.fifaindex.com/player/213661/andreas-christensen/
207,Germany,Jonathan Tah,Bayer 04,https://www.fifaindex.com/player/213331/jonathan-tah/
208,Italy,Federico Bernardeschi,Juventus,https://www.fifaindex.com/player/212404/federico-bernardeschi/
209,Portugal,Andr? Gomes,FC Barcelona,https://www.fifaindex.com/player/211575/andr%C3%A9-gomes/
210,France,Anthony Martial,Manchester Utd,https://www.fifaindex.com/player/211300/anthony-martial/
211,France,Adrien Rabiot,PSG,https://www.fifaindex.com/player/210008/adrien-rabiot/
212,Netherlands,Quincy Promes,Spartak Moscow,https://www.fifaindex.com/player/208808/quincy-promes/
213,Spain,Lucas V?zquez,Real Madrid,https://www.fifaindex.com/player/208618/lucas-v%C3%A1zquez/
214,Spain,Sa?l,Atl?tico Madrid,https://www.fifaindex.com/player/208421/sa%C3%BAl/
215,Brazil,Felipe,FC Porto,https://www.fifaindex.com/player/207863/felipe/
216,Colombia,Carlos Bacca,Villarreal CF,https://www.fifaindex.com/player/207664/carlos-bacca/
217,Italy,Franco V?zquez,Sevilla FC,https://www.fifaindex.com/player/207471/franco-v%C3%A1zquez/
218,Croatia,Mateo Kova?i?,Real Madrid,https://www.fifaindex.com/player/207410/mateo-kova%C4%8Di%C4%87/
219,Spain,Sergio Rico,Sevilla FC,https://www.fifaindex.com/player/206652/sergio-rico/
220,Spain,Manu Trigueros,Villarreal CF,https://www.fifaindex.com/player/206545/manu-trigueros/
221,Germany,Antonio R?diger,Chelsea,https://www.fifaindex.com/player/205452/antonio-r%C3%BCdiger/
222,France,Florian Thauvin,Olym. Marseille,https://www.fifaindex.com/player/204970/florian-thauvin/
223,Montenegro,Stefan Savi?,Atl?tico Madrid,https://www.fifaindex.com/player/204639/stefan-savi%C4%87/
224,Spain,I?igo Mart?nez,Real Sociedad,https://www.fifaindex.com/player/204525/i%C3%B1igo-mart%C3%ADnez/
225,Spain,Roque Mesa,Swansea City,https://www.fifaindex.com/player/204277/roque-mesa/
226,Italy,Alessandro Florenzi,Roma,https://www.fifaindex.com/player/203551/alessandro-florenzi/
227,Italy,Simone Zaza,Valencia CF,https://www.fifaindex.com/player/202685/simone-zaza/
228,Spain,Suso,Milan,https://www.fifaindex.com/player/202651/suso/
229,Spain,Deulofeu,FC Barcelona,https://www.fifaindex.com/player/202477/deulofeu/
230,England,Eric Dier,Spurs,https://www.fifaindex.com/player/202335/eric-dier/
231,Brazil,Lucas,PSG,https://www.fifaindex.com/player/200949/lucas/
232,Korea Republic,Heung Min Son,Spurs,https://www.fifaindex.com/player/200104/heung-min-son/
233,Italy,Francesco Acerbi,Sassuolo,https://www.fifaindex.com/player/199845/francesco-acerbi/
234,Switzerland,Granit Xhaka,Arsenal,https://www.fifaindex.com/player/199503/granit-xhaka/
235,DR Congo,C?dric Bakambu,Villarreal CF,https://www.fifaindex.com/player/198951/c%C3%A9dric-bakambu/
